Yangi malumot..
ID:AED, Name:United Arab Emirates Dirham, Min_size:0.01
ID:AFN, Name:Afghan Afghani, Min_size:0.01
ID:ALL, Name:Albanian Lek, Min_size:0.01
ID:AMD, Name:Armenian Dram, Min_size:0.01
ID:ANG, Name:Netherlands Antillean Gulden, Min_size:0.01
ID:AOA, Name:Angolan Kwanza, Min_size:0.01
ID:ARS, Name:Argentine Peso, Min_size:0.01
ID:AUD, Name:Australian Dollar, Min_size:0.01
ID:AWG, Name:Aruban Florin, Min_size:0.01
ID:AZN, Name:Azerbaijani Manat, Min_size:0.01
ID:BAM, Name:Bosnia and Herzegovina Convertible Mark, Min_size:0.01
ID:BBD, Name:Barbadian Dollar, Min_size:0.01
ID:BDT, Name:Bangladeshi Taka, Min_size:0.01
ID:BGN, Name:Bulgarian Lev, Min_size:0.01
ID:BHD, Name:Bahraini Dinar, Min_size:0.001
ID:BIF, Name:Burundian Franc, Min_size:1
ID:BMD, Name:Bermudian Dollar, Min_size:0.01
ID:BND, Name:Brunei Dollar, Min_size:0.01
ID:BOB, Name:Bolivian Boliviano, Min_size:0.01
ID:BRL, Name:Real, Min_size:0.01
ID:BSD, Name:Bahamian Dollar, Min_size:0.01
ID:BTN, Name:Bhutanese Ngultrum, Min_size:0.01
ID:BWP, Name:Botswana Pula, Min_size:0.01
ID:BYN, Name:Belarusian Ruble, Min_size:0.01
ID:BYR, Name:Belarusian Ruble, Min_size:1
ID:BZD, Name:Belize Dollar, Min_size:0.01
ID:CAD, Name:Canadian Dollar, Min_size:0.01
ID:CDF, Name:Congolese Franc, Min_size:0.01
ID:CHF, Name:Swiss Franc, Min_size:0.01
ID:CLF, Name:Unidad de Fomento, Min_size:0.0001
ID:CLP, Name:Chilean Peso, Min_size:1
ID:CNY, Name:Chinese Renminbi Yuan, Min_size:0.01
ID:COP, Name:Colombian Peso, Min_size:0.01
ID:CRC, Name:Costa Rican Colón, Min_size:0.01
ID:CUC, Name:Cuban Convertible Peso, Min_size:0.01
ID:CUP, Name:Cuban Peso, Min_size:0.01
ID:CVE, Name:Cape Verdean Escudo, Min_size:0.01
ID:CZK, Name:Czech Koruna, Min_size:0.01
ID:DJF, Name:Djiboutian Franc, Min_size:1
ID:DKK, Name:Danish Krone, Min_size:0.01
